time,ax,ay,az
9.632715420E-1,-5.995635986E-1,1.031616211E1,8.940124512E-1
9.657739840E-1,-6.163177490E-1,1.038798523E1,9.299163818E-1
9.682764250E-1,-6.761779785E-1,1.040953064E1,8.676757812E-1
9.707788660E-1,-6.881408691E-1,1.048135376E1,7.096557617E-1
9.732813080E-1,-7.623748779E-1,1.046220398E1,6.138763428E-1
9.757837490E-1,-8.940429688E-1,1.052206421E1,5.707855225E-1
9.782556730E-1,-9.586944580E-1,1.053642273E1,5.564270020E-1
9.807581150E-1,-9.275665283E-1,1.051248169E1,6.761322021E-1
9.832605560E-1,-8.533477783E-1,1.045980835E1,7.814788818E-1
9.857629970E-1,-8.437652588E-1,1.040713501E1,8.102111816E-1
9.882654390E-1,-8.078613281E-1,1.038798523E1,7.288055420E-1
9.907678800E-1,-7.216644287E-1,1.035446167E1,7.144470215E-1
9.932703220E-1,-6.570281982E-1,1.031376648E1,7.359924316E-1
9.957727630E-1,-6.522369385E-1,1.025630188E1,7.862701416E-1
9.982752040E-1,-6.594238281E-1,1.022756958E1,6.186676025E-1
1.000777646E0,-6.665954590E-1,1.021800232E1,6.114959717E-1
1.003280087E0,-6.833648682E-1,1.014855957E1,7.144470215E-1
1.005782529E0,-7.551879883E-1,1.012940979E1,6.186676025E-1
