time,mx,my,mz
4.133384642E1,-2.898864746E1,-4.337463379E1,3.179931641E0
4.134385618E1,-2.763824463E1,-4.487457275E1,3.179931641E0
4.135386595E1,-2.868804932E1,-4.367370605E1,3.630065918E0
4.136387571E1,-2.793731689E1,-4.307403564E1,4.380798340E0
4.137388548E1,-2.868804932E1,-4.412384033E1,3.630065918E0
4.138386473E1,-2.898864746E1,-4.412384033E1,4.380798340E0
4.139356932E1,-2.763824463E1,-4.337463379E1,4.380798340E0
4.140351805E1,-2.898864746E1,-4.367370605E1,5.130004883E0
4.141352781E1,-2.898864746E1,-4.487457275E1,3.930664062E0
4.142350706E1,-2.853851318E1,-4.547424316E1,3.781127930E0
4.143348631E1,-2.943878174E1,-4.367370605E1,6.179809570E0
4.144346556E1,-2.898864746E1,-4.307403564E1,5.430603027E0
4.145341429E1,-2.778778076E1,-4.472351074E1,6.330871582E0
4.146339354E1,-2.943878174E1,-4.442443848E1,6.179809570E0
4.147340330E1,-2.988739014E1,-4.352416992E1,6.330871582E0
4.148338255E1,-2.898864746E1,-4.442443848E1,6.930541992E0
4.149336180E1,-2.988739014E1,-4.502410889E1,5.580139160E0
4.150334105E1,-2.898864746E1,-4.592437744E1,6.179809570E0
4.151332029E1,-2.778778076E1,-4.322357178E1,6.030273438E0
4.152333006E1,-2.763824463E1,-4.307403564E1,5.731201172E0
4.153330931E1,-2.883758545E1,-4.352416992E1,6.030273438E0
4.154328856E1,-2.868804932E1,-4.442443848E1,6.930541992E0
4.155329832E1,-2.718811035E1,-4.412384033E1,6.930541992E0
4.156330809E1,-2.883758545E1,-4.427337646E1,6.330871582E0
4.157331785E1,-2.808837891E1,-4.397430420E1,6.781005859E0
4.158329710E1,-2.928771973E1,-4.427337646E1,6.781005859E0
4.159330687E1,-2.928771973E1,-4.277343750E1,6.781005859E0
4.160331663E1,-2.778778076E1,-4.322357178E1,9.330749512E0
4.161332640E1,-2.763824463E1,-4.442443848E1,7.980346680E0
4.162333616E1,-2.868804932E1,-4.442443848E1,9.780883789E0
4.163331541E1,-2.823791504E1,-4.307403564E1,8.430480957E0
4.164332518E1,-2.643737793E1,-4.412384033E1,9.480285645E0
4.165302977E1,-2.853851318E1,-4.472351074E1,8.580017090E0
4.166300902E1,-2.763824463E1,-4.232482910E1,9.480285645E0
4.167298826E1,-2.958831787E1,-4.352416992E1,8.880615234E0
4.168296751E1,-2.853851318E1,-4.352416992E1,1.038055420E1
4.169294676E1,-2.808837891E1,-4.322357178E1,8.880615234E0
4.170292601E1,-3.063812256E1,-4.472351074E1,1.068115234E1
4.171290526E1,-3.018798828E1,-4.157409668E1,9.780883789E0
4.172288450E1,-2.883758545E1,-4.277343750E1,1.068115234E1
4.173286375E1,-2.883758545E1,-4.172363281E1,1.038055420E1
4.174284300E1,-2.928771973E1,-4.322357178E1,1.068115234E1
4.175282225E1,-2.958831787E1,-4.277343750E1,1.068115234E1
4.176280150E1,-2.988739014E1,-4.352416992E1,1.068115234E1
4.177278074E1,-2.928771973E1,-4.397430420E1,1.188049316E1
4.178275999E1,-3.048858643E1,-4.232482910E1,1.053009033E1
4.179273924E1,-2.958831787E1,-4.247436523E1,1.068115234E1
4.180271849E1,-3.138732910E1,-4.277343750E1,9.930419922E0
4.181272825E1,-2.823791504E1,-4.262390137E1,1.352996826E1
4.182270750E1,-3.048858643E1,-4.262390137E1,1.128082275E1
4.183265623E1,-2.853851318E1,-4.322357178E1,1.068115234E1
4.184263548E1,-2.868804932E1,-4.367370605E1,1.203002930E1
4.185261473E1,-2.988739014E1,-4.322357178E1,1.263122559E1
4.186259398E1,-2.973785400E1,-4.307403564E1,1.278076172E1
4.187257322E1,-3.018798828E1,-4.412384033E1,1.278076172E1
4.188255247E1,-2.733764648E1,-4.472351074E1,1.038055420E1
4.189250120E1,-2.823791504E1,-4.262390137E1,1.128082275E1
4.190251097E1,-2.733764648E1,-4.352416992E1,1.293029785E1
4.191249022E1,-2.793731689E1,-4.367370605E1,1.307983398E1
4.192246946E1,-2.763824463E1,-4.487457275E1,1.128082275E1
4.193244871E1,-2.718811035E1,-4.562377930E1,1.233062744E1
4.194242796E1,-2.703857422E1,-4.472351074E1,9.930419922E0
4.195240721E1,-2.718811035E1,-4.412384033E1,1.203002930E1
4.196238646E1,-2.568817139E1,-4.487457275E1,1.203002930E1
4.197236570E1,-2.688751221E1,-4.442443848E1,1.307983398E1
4.198234495E1,-2.718811035E1,-4.592437744E1,1.307983398E1
4.199232420E1,-2.463836670E1,-4.367370605E1,1.157989502E1
4.200230345E1,-2.643737793E1,-4.592437744E1,1.053009033E1
4.201228270E1,-2.388763428E1,-4.412384033E1,1.157989502E1
4.202317747E1,-2.553863525E1,-4.547424316E1,9.930419922E0
4.203227171E1,-2.433776855E1,-4.307403564E1,1.157989502E1
4.204222044E1,-2.508850098E1,-4.562377930E1,1.157989502E1
4.205223021E1,-2.523803711E1,-4.427337646E1,1.038055420E1
4.206220946E1,-2.433776855E1,-4.562377930E1,1.352996826E1
4.207215818E1,-2.448730469E1,-4.547424316E1,1.143035889E1
4.208213743E1,-2.553863525E1,-4.472351074E1,1.188049316E1
4.209211668E1,-2.448730469E1,-4.547424316E1,9.629821777E0
4.210212645E1,-2.448730469E1,-4.397430420E1,1.263122559E1
4.211210570E1,-2.538757324E1,-4.517364502E1,1.053009033E1
4.212205442E1,-2.343750000E1,-4.472351074E1,1.112976074E1
4.213203367E1,-2.523803711E1,-4.502410889E1,1.068115234E1
4.214204344E1,-2.358856201E1,-4.562377930E1,1.128082275E1
4.215202269E1,-2.448730469E1,-4.427337646E1,1.112976074E1
4.216194090E1,-2.538757324E1,-4.517364502E1,1.233062744E1
4.217195067E1,-2.448730469E1,-4.427337646E1,1.112976074E1
4.218196043E1,-2.343750000E1,-4.472351074E1,1.263122559E1
4.219197020E1,-2.463836670E1,-4.412384033E1,1.023101807E1
4.220197996E1,-2.388763428E1,-4.442443848E1,1.098022461E1
4.221198973E1,-2.313842773E1,-4.367370605E1,9.780883789E0
4.222203001E1,-2.403869629E1,-4.547424316E1,1.143035889E1
4.223197874E1,-2.568817139E1,-4.562377930E1,1.203002930E1
4.224198851E1,-2.388763428E1,-4.487457275E1,1.053009033E1
4.225233397E1,-2.448730469E1,-4.682464600E1,1.143035889E1
4.226200804E1,-2.478790283E1,-4.652404785E1,1.068115234E1
4.227201780E1,-2.538757324E1,-4.637451172E1,9.780883789E0
4.228205809E1,-2.538757324E1,-4.412384033E1,9.780883789E0
4.229170164E1,-2.448730469E1,-4.427337646E1,8.129882812E0
4.230168089E1,-2.538757324E1,-4.442443848E1,9.480285645E0
4.231166014E1,-2.703857422E1,-4.547424316E1,8.129882812E0
4.232163939E1,-2.523803711E1,-4.352416992E1,7.830810547E0
4.233140501E1,-2.628784180E1,-4.397430420E1,8.129882812E0
4.234159788E1,-2.703857422E1,-4.397430420E1,9.930419922E0
4.235157713E1,-2.643737793E1,-4.442443848E1,8.731079102E0
4.236152586E1,-2.733764648E1,-4.652404785E1,8.880615234E0
4.237153563E1,-2.808837891E1,-4.577484131E1,6.781005859E0
4.238154539E1,-2.808837891E1,-4.427337646E1,8.880615234E0
4.239149412E1,-2.538757324E1,-4.487457275E1,8.731079102E0
4.240147337E1,-2.763824463E1,-4.412384033E1,7.980346680E0
4.241142210E1,-2.733764648E1,-4.397430420E1,8.129882812E0
4.242143187E1,-2.643737793E1,-4.592437744E1,7.679748535E0
4.243141112E1,-2.733764648E1,-4.322357178E1,1.038055420E1
4.244142088E1,-2.703857422E1,-4.322357178E1,9.629821777E0
4.245143065E1,-2.778778076E1,-4.397430420E1,8.129882812E0
4.246144041E1,-2.688751221E1,-4.187469482E1,7.980346680E0
4.247141966E1,-2.733764648E1,-4.397430420E1,7.830810547E0
4.248142942E1,-2.718811035E1,-4.487457275E1,8.731079102E0
4.249143919E1,-2.568817139E1,-4.307403564E1,7.980346680E0
4.250144896E1,-2.703857422E1,-4.547424316E1,8.880615234E0
4.251145872E1,-2.763824463E1,-4.487457275E1,7.980346680E0
4.252146849E1,-2.778778076E1,-4.397430420E1,8.580017090E0
4.253144774E1,-2.703857422E1,-4.322357178E1,7.380676270E0
4.254145750E1,-2.793731689E1,-4.367370605E1,6.480407715E0
4.255113157E1,-2.658843994E1,-4.502410889E1,8.580017090E0
4.256114134E1,-2.688751221E1,-4.517364502E1,7.980346680E0
4.257112059E1,-2.703857422E1,-4.577484131E1,6.330871582E0
4.258109984E1,-2.718811035E1,-4.262390137E1,5.430603027E0
4.259104857E1,-2.463836670E1,-4.487457275E1,6.179809570E0
4.260105833E1,-2.703857422E1,-4.397430420E1,7.080078125E0
4.261103758E1,-2.568817139E1,-4.412384033E1,7.231140137E0
4.262101683E1,-2.553863525E1,-4.397430420E1,7.380676270E0
4.263099608E1,-2.523803711E1,-4.277343750E1,5.580139160E0
4.264097532E1,-2.553863525E1,-4.172363281E1,8.580017090E0
4.265095457E1,-2.598876953E1,-4.352416992E1,6.781005859E0
4.266093382E1,-2.298736572E1,-4.502410889E1,6.030273438E0
4.267094358E1,-2.628784180E1,-4.352416992E1,7.080078125E0
4.268092283E1,-2.613830566E1,-4.337463379E1,6.179809570E0
4.269087156E1,-2.613830566E1,-4.367370605E1,8.430480957E0
4.270085081E1,-2.793731689E1,-4.442443848E1,6.930541992E0
4.271083006E1,-2.718811035E1,-4.307403564E1,7.231140137E0
4.272080931E1,-2.703857422E1,-4.397430420E1,6.781005859E0
4.273078856E1,-2.658843994E1,-4.547424316E1,7.830810547E0
4.274076780E1,-2.613830566E1,-4.367370605E1,6.179809570E0
4.275074705E1,-2.598876953E1,-4.352416992E1,7.380676270E0
4.276072630E1,-2.823791504E1,-4.337463379E1,8.430480957E0
4.277070555E1,-2.568817139E1,-4.232482910E1,7.231140137E0
4.278068480E1,-2.613830566E1,-4.412384033E1,7.980346680E0
4.279066404E1,-2.733764648E1,-4.472351074E1,7.830810547E0
4.280064329E1,-2.733764648E1,-4.472351074E1,8.880615234E0
4.281062254E1,-2.568817139E1,-4.412384033E1,1.023101807E1
4.282060179E1,-2.553863525E1,-4.427337646E1,8.580017090E0
4.283058104E1,-2.808837891E1,-4.322357178E1,7.830810547E0
4.284056028E1,-2.733764648E1,-4.427337646E1,9.330749512E0
4.285053953E1,-2.553863525E1,-4.472351074E1,8.880615234E0
4.286051878E1,-2.598876953E1,-4.427337646E1,9.330749512E0
4.287049803E1,-2.643737793E1,-4.442443848E1,9.030151367E0
4.288047728E1,-2.628784180E1,-4.502410889E1,8.580017090E0
4.289045653E1,-2.613830566E1,-4.262390137E1,9.480285645E0
4.290141234E1,-2.613830566E1,-4.517364502E1,7.980346680E0
4.291050657E1,-2.478790283E1,-4.322357178E1,8.580017090E0
4.292042479E1,-2.568817139E1,-4.367370605E1,9.780883789E0
4.293037352E1,-2.688751221E1,-4.367370605E1,8.430480957E0
4.294035276E1,-2.553863525E1,-4.427337646E1,8.880615234E0
4.295030150E1,-2.598876953E1,-4.352416992E1,9.930419922E0
4.296034178E1,-2.463836670E1,-4.367370605E1,1.053009033E1
4.297032103E1,-2.643737793E1,-4.187469482E1,8.731079102E0
4.298026976E1,-2.628784180E1,-4.277343750E1,9.930419922E0
4.299024900E1,-2.688751221E1,-4.412384033E1,1.098022461E1
